Id,ACC_Graduated_Status__c,SoldDate__c,AOV_Band__c
0013000001CDPktAAH,,2/2/14,$10k-50k
0013000001CDnvOAAT,,1/23/14,$10k-50k
00130000016jWwZAAU,Failed,11/23/13,$10k-50k
00130000016jUL8AAM,,2/11/14,$10k-50k
00130000016jWrtAAE,,1/31/14,$10k-50k
00130000016jYAhAAM,Failed,10/15/13,$10k-50k
00130000016jccrAAA,Failed,9/30/13,$10k-50k
00130000016jcOLAAY,Failed,11/14/13,$10k-50k
00130000016jedDAAQ,Failed,11/18/13,$10k-50k
00130000016jhBuAAI,,1/31/14,$10k-50k
00130000016jis6AAA,,2/15/14,$10k-50k
0013000001FiwB0AAJ,,1/10/14,$10k-50k
00130000016jmavAAA,,1/10/14,$10k-50k
00130000016jnnlAAA,Failed,11/14/13,$100k-200k
00130000016jkrlAAA,,1/14/14,$10k-50k
00130000016jjvDAAQ,,2/15/14,$10k-50k
00130000016jq5hAAA,Failed,10/31/13,$10k-50k
00130000016joMRAAY,,2/13/14,$50k-100k
00130000016jxp3AAA,,1/24/14,$10k-50k
0013000001CChfUAAT,,2/14/14,$10k-50k
0013000001C9ux9AAB,Failed,12/15/13,$10k-50k
0013000001CB6WLAA1,Failed,10/1/13,$10k-50k
0013000001C9vCiAAJ,,1/20/14,$10k-50k
0013000001C9vDCAAZ,Failed,10/23/13,$10k-50k
0013000001C9v6zAAB,,10/15/13,$10k-50k
0013000001C9vVVAAZ,Failed,10/30/13,$10k-50k
0013000001C9xyUAAR,,2/4/14,$10k-50k
0013000001C9wuWAAR,,2/15/14,$10k-50k
0013000001CA08RAAT,,2/21/14,$10k-50k
0013000001CA3juAAD,Failed,11/6/13,$10k-50k
0013000001CCXJvAAP,Failed,10/31/13,$10k-50k
0013000001CA9MEAA1,,1/28/14,$10k-50k
0013000001CDmJ6AAL,Failed,11/26/13,$10k-50k
0013000001CA8gIAAT,,10/16/13,$50k-100k
0013000001CDoAdAAL,Failed,11/20/13,$10k-50k
0013000001CDmdzAAD,,11/18/13,$10k-50k
0013000001CDnN7AAL,Failed,12/17/13,$10k-50k
0013000001EZWIhAAP,,1/15/14,$10k-50k
0013000001CDqz4AAD,Failed,12/18/13,$10k-50k
0013000001CA4foAAD,,2/6/14,$10k-50k
0013000001CA7gpAAD,,1/15/14,$10k-50k
0013000001CA7U5AAL,,1/15/14,$10k-50k
0013000001CA9vYAAT,Failed,11/14/13,$50k-100k
0013000001CALbqAAH,Failed,10/9/13,$10k-50k
0013000001CAQ7gAAH,,1/14/14,$10k-50k
0013000001CAOplAAH,Failed,11/6/13,$10k-50k
0013000001CANpkAAH,,2/15/14,$10k-50k
0013000001CAR8aAAH,Failed,10/14/13,$10k-50k
0013000001FKw7YAAT,,12/31/13,$10k-50k
0013000001EZXY1AAP,,1/2/14,$10k-50k
0013000001EZXZsAAP,,2/15/14,$10k-50k
0013000001EZVLDAA5,Failed,12/17/13,$10k-50k
0013000001Fg1vuAAB,,2/7/14,$10k-50k
0013000001Fg2buAAB,,1/2/14,$10k-50k
